Restaurant,Customer,Date,Rating,Review
House of Donuts,Ahmed Medhat Rashed ***,30 November 2023,Amazing,ممتازين
House of Donuts,محمد س***,24 September 2023,Amazing,محترم وذوق
House of Donuts,Aya S***,15 September 2023,Amazing,الانواع كانت قليله بس
House of Donuts,Rahma N***,05 September 2023,Amazing,جربته صدفه عشان اسعار كرسبى كريم بقت هبله .. حقيقى تحفه سعر مناسب وطعم غنى وفريش حلو جدا بجد
El Fayoumi Pizza,gamal N***,20 January 2024,OK,الاكل وحش ومحدش رد عليا قالوا المطعم هيتواصل معايا
El Fayoumi Pizza,Assma A***,10 January 2024,Good,الاوردر اخد ساعه و 35 دقيقة وكان ظاهرلى انه هياخد من 40 ل 60 دقيقة ويكون وصل
El Fayoumi Pizza,Sherif M***,03 January 2024,Very good,العرض على فطيرة فياجرا كبيرة وتم احضارها الى وسط
El Fayoumi Pizza,Mohamed A***,23 December 2023,Amazing,الاكل جاي سخن و الدليفرى جه بسرعه جدا و محترم جدا و كمية الاكل كتير ماشاء الله ♥️
El Fayoumi Pizza,Katrin E***,10 December 2023,OK,التأخير الاوردر وصلي بعد ساعتين ونص بالظبط
El Fayoumi Pizza,FaDy AdEl SaAd ***,09 December 2023,OK,الاكل بارد و الدليفري اتاخر
El Fayoumi Pizza,مركز شهد ووسن للزين النسائي ***,02 December 2023,OK,كل شي سيا الاكل وحش وبارد وتوصيل بعدساعتين كل شي وحش الطلب وصل بعد ساعين وكان بارد
El Fayoumi Pizza,Mohamed M***,01 December 2023,Good,العجين وحش جدا مفيش جبنه زي ما موجود فى الفطير
El Fayoumi Pizza,mariem m***,26 November 2023,OK,ملهاش علاقه بالبيتزا بجد طعمها بشع
El Fayoumi Pizza,Lola H***,23 November 2023,Good,جبت فطيرة مشكل لحوم طعمها وحش جدا والسجق كأنه معمول من لحم كلاب اقسم بالله محدش يجيب فطير لحوم ابداا
El Fayoumi Pizza,محمد ا***,16 November 2023,Amazing,ممتاز جدا والتوصيل سريع جدا ومندوب التوصيل محترم جدا
El Fayoumi Pizza,Mohamed hassan M***,11 November 2023,Good,حدوث حالة تسمم جودة الأكل سيئة جدا
