Restaurant,Customer,Date,Rating,Review
Chili'sORDER ONLINE,hafsa,a month ago,1,الفرايز مش بس كانت باردة، لا كمان كانت بايتة!! البرجر بتاع الاطفال مقرف و الطبق الرئيسي كان تشيكن كونتري كان بيمط!
Chili'sORDER ONLINE,الصادق,2 months ago,1,توصيل متاخر ومفيش تعامل حلو من خدمة العملاء
Chili'sORDER ONLINE,Rania Ahmed,3 months ago,3,الهمبورجر محروق تماما
Chili'sORDER ONLINE,Margreet,4 months ago,1,الأكل جه ملح زيادة قوي و العيش محروق و الفراخ ناشفه. كله كان قرف بصراحه.
Chili'sORDER ONLINE,حسام أولياء,4 months ago,4,ال Mini Burger كان ناشف زي الحطب ، و لا لا نكهة و لا شي ، لحمة شبه محروقة
Chili'sORDER ONLINE,Rania Ahmed,5 months ago,1,الفرايز سيئة جدا جدا جدا - مفيش معلقه او شوكة - مفيش كتشب
Chili'sORDER ONLINE,nada,6 months ago,1,مطعم زبالة وقمة البخل اطلب الفراخ مشوية يجيبوها علي مزاجهم مقلية وياريت جودة الاكل عدلة وحتي مش بيجيبوا معالق مع الاكل يعني قمة النتانة واسعار خرافيةمطعم لازم يتقفل
Chili'sORDER ONLINE,reham kassem,6 months ago,1,في اربع شعرات في صوص المكرونة و شعريتين في المكرونة. و الفراخ شبه محروقة و ناشقة و مزيته و مش فريش نهائي. و الاكل كله اترمى في الزبالة. شكراً
Chili'sORDER ONLINE,abody almalki,6 months ago,1,الاكل قليل جدا مخالف للوصف المكرونة من غير كاجو خالص اللحم غير مطهي جيداً كمية لاتناسب القيمة قليلة جداً جداً
Chili'sORDER ONLINE,Engy El Daly,8 months ago,1,الشوربة كانت عاملة زي البشاميل التقيل و طعمها سئ، و الستيك كان عامل زي الكوتش و طعمه سئ جدا
Chili'sORDER ONLINE,Hoda Mamdouh,9 months ago,1,موصلش. بعد ساعتين وربع انتظار بالرغم من مكالمتهم ٣ مرات بدون نتيجة
Chili'sORDER ONLINE,Raheemka Tolip,10 months ago,1,اسوء مطعم في مصر لا مراعاه للنضافه ونوعية الاكل سيئه جدا للاسف لاينصح به بتاتا غير اسعاره الغير مناسبه لنوعيه الاكل السيئ جدا وجميع الافرع علي نفس القرف
Chili'sORDER ONLINE,Hoda Mamdouh,10 months ago,2,الطعم بيسوء كل مرة عن اللي قبلها والكمية قلت جدااا عن الأول
Chili'sORDER ONLINE,heba,10 months ago,5,لم يتم إرسال دريسنج كافى
Chili'sORDER ONLINE,Ahmad Sameer Hamama,10 months ago,1,الكمية زفت على اوردر ب 600 جنية يرجى التواصل
Chili'sORDER ONLINE,Amira Mahmoud,a year ago,1,الاكل بقي مستواه مش كويس ، بعتين البرجر في فويل ومنغير علبة و البرجر ناشف حجر و سندوتشات التامة الفراخ الصوص مياه و كتير و العيش مبلول ، اوردر سئ جدا جدا
Chili'sORDER ONLINE,Hoda Mamdouh,a year ago,2,chips طعمها قديم جداااااااااااااااااااااااا
Chili'sORDER ONLINE,Rehab Helmy,a year ago,1,الساندوتشات مكانتش طازة وكان فيها نوع جبنة مش حلو والعيش مفرول والبطاطس كانت شاربة زيت وساندوتش الفراخ الطبقة اللي فوق متشالة
Chili'sORDER ONLINE,Nader Amgad,a year ago,1,الاكل جي نصوا فاضي و البرجر ساقع مش بارد
Chili'sORDER ONLINE,Mariam,a year ago,1,الاكل وصل بارد جدا وكمان عرقان والتغليف سئ
Chili'sORDER ONLINE,Hala Moustafa,a year ago,1,امبارح طلبت نفس الطلب وكان حجم السلطه كالمعتاد بس النهارده كان نص الكميه تقريبا مافيش خص ده حتي الخص رخيص بس الفراخ نفس الكمية والتوستادو ناشف وسميك جدا
Chili'sORDER ONLINE,eslam mohamed,a year ago,1,اسوء فاهيتا أكلتها في حياتي، الفراخ مسلوقة وبعد كدا متشوحة، وكمية بصل رهيبة ومتقطع كبير جدا غير الطبيعي ومحرووق
Chili'sORDER ONLINE,islam bahaa,a year ago,1,اسواء اكل في مصر برجاء مقاطعة هذا المطعم
Chili'sORDER ONLINE,gerges,a year ago,3,ضعيف
Chili'sORDER ONLINE,Hassan Samir,a year ago,1,فين البطاطس
Chili'sORDER ONLINE,Youssef,a year ago,1,السانويتشات باردة وطعمل سيئ وعاملين أوفر ٢ ساندويتش و٢ بيبسي، طلبت منه ٢ أوفر جاللى ٢ بيبسي بدل ٤.
Chili'sORDER ONLINE,Sahar Eissa,a year ago,1,الاوردر سيء الفراخ البانيه بايته والصوص كان بايظ وتسبب في تسمم
Chili'sORDER ONLINE,Hatem Elzarkawy,a year ago,1,الاكل جاي بارد جدا والصوص واقع في الشنطة والشنطة مقطوعة والاكل اتاخر ساعتين اسوء تجربة اكل وتوصيل
Chili'sORDER ONLINE,Kamal Khalil,a year ago,1,العيش بايت والاكل يقرف، اطلبوا من مكان تاني احسن.
Chili'sORDER ONLINE,Hosein Elkhodairy,a year ago,1,المطعم مغلق و الأوردر اتلغي بعد ماطلبت..ماتحاولش تطلب
Chili'sORDER ONLINE,Michael Mansour,a year ago,1,جالي منه تسمم بعد نصف ساعة من الاكل ، الاكل اصلا وصل بارد جذا بعد ساعة و نصف من عمل الاوردر ، و لما وصل العيش شكله متقطع و بايت و البرجر كان واخد ربع السندويتش من الداخل زي ميكون متاكل قبل كده و الطعم بشع ، و سندويتش الفراخ كانت ناشفة جدا زي متكون مت...
