Restaurant,Customer,Date,Rating,Review
Chili'sORDER ONLINE,Sherif Doss,a month ago,1,"Food was awful, not same taste and chicken in salad was raw and under cooked and wings had chicken feathers on it"
Chili'sORDER ONLINE,Shaza Elzakie,2 months ago,1,Awful delivery guy
Chili'sORDER ONLINE,Habiba Kamel,3 months ago,3,Very Cold Food
Chili'sORDER ONLINE,Robina Bakie,4 months ago,3,Cream of قلقاس soup. This is not the old chili's signature soup. Taste very weird.
Chili'sORDER ONLINE,Nour Salem,4 months ago,1,It tasters like bad cake not a cookie
Chili'sORDER ONLINE,sally hussein,5 months ago,1,"Very cold ,"
Chili'sORDER ONLINE,Nada M. Magdy,5 months ago,1,When i asked the delivery guy about the total amount he told me it is 325. Then i double checked on my phone it was 312.25. He wanted to take the extra money for himself.
Chili'sORDER ONLINE,norhan,5 months ago,1,Order wrong I want to speak to someone
Chili'sORDER ONLINE,Nourhan,6 months ago,3,old saggy mashed potatoes that they filled with salt to cover up the old taste
Chili'sORDER ONLINE,Nermeen Nasr,7 months ago,4,The food isn’t fresh
Chili'sORDER ONLINE,Deena Wagieh Abu Elnaga,7 months ago,4,portions of food according to price is very limited and Rice's taste was very bad 👎 😕
Chili'sORDER ONLINE,dalia abdin,7 months ago,1,"terrible wings, uncooked, red from inside, raw"
Chili'sORDER ONLINE,Maryam R,8 months ago,1,OVER OVER OVER OVER PRICED. Rice is the worst and wasn't even cooked. Pasta is totally disgusting.
Chili'sORDER ONLINE,Omar Hesham,8 months ago,1,"The burger tasted disgusting, the loaded chicken was dry and old... No wonder Chili’s is slowly dying"
Chili'sORDER ONLINE,Mohamed Nagy,8 months ago,1,horrible portions and taste... overpriced. don't recommend
Chili'sORDER ONLINE,Shady Nagy,8 months ago,1,"Terrible food, terrible packaging and non of the comments were followed plus it takes very long waiting time for the food"
Chili'sORDER ONLINE,Shady Abbas,9 months ago,1,"Very bad, the chicken piece is very small and thin and full of oil, honestly it was a very bad experience and i won’t order again Rating 0 out of 5"
Chili'sORDER ONLINE,inas,9 months ago,2,There was no pineapple nor berries just lot of lettuce! مقلب
Chili'sORDER ONLINE,wadiaa,9 months ago,1,The worst taste ever
Chili'sORDER ONLINE,Ray Kim,10 months ago,1,I am waiting 2 and half hours... still not come! They said on the way. Is that came from outside Cairo???
Chili'sORDER ONLINE,sarah,10 months ago,1,Gave me food poisoning
Chili'sORDER ONLINE,Farah El Rifai,10 months ago,1,Arriving 1 hour before the agreed time
Chili'sORDER ONLINE,Hoda Mamdouh,a year ago,1,"missed items ,and thus is not the first time .....last time I order from chilis elrehab"
Chili'sORDER ONLINE,Fadi,a year ago,3,"Burger bun was not fresh , fries not crispy and gold same as mozzarella sticks . Not as expected"
Chili'sORDER ONLINE,Rady Mahmoud,a year ago,5,"the order came in 2 minutes, the food was tasty, warm, and with fresh chicken. I will order again for sure and advise you to try too."
Chili'sORDER ONLINE,nehal ali,a year ago,3,Chicken wasn’t fresh
Chili'sORDER ONLINE,nada,a year ago,3,Everytime the food comes without a spoon or fork👎👎
Chili'sORDER ONLINE,Karen Emad,a year ago,2,The portions changed and the plate as well
Chili'sORDER ONLINE,Passant Zaher,a year ago,3,Cold food
Chili'sORDER ONLINE,inas,a year ago,2,Home made style fries was very disappointing. And the burger itself was yum. The order wasn’t wrapped properly. I guess home delivery wasn’t a good idea. I would prefer dining in.
Chili'sORDER ONLINE,Pakinam El-Ganainy,a year ago,1,"The order was tottaly Miss, the order was arrived in the packaging as it is a fish restaurant. The corn In a paper package!!!!! The toast came over the pasta in the same box. It was very bad, The pasta sauce was outside the packages dont know why!! I..."
Chili'sORDER ONLINE,Muhab Abdelwaged,a year ago,1,"WORST BURGER OF ALL TIME OILY & bad smelling , awful taste really gross"
