Chili'sORDER ONLINE,hafsa,a month ago,1,الفرايز مش بس كانت باردة، لا كمان كانت بايتة!! البرجر بتاع الاطفال مقرف و الطبق الرئيسي كان تشيكن كونتري كان بيمط!
Chili'sORDER ONLINE,Sherif Doss,a month ago,1,"Food was awful, not same taste and chicken in salad was raw and under cooked and wings had chicken feathers on it"
Chili'sORDER ONLINE,Shaza Elzakie,2 months ago,1,Awful delivery guy
Chili'sORDER ONLINE,الصادق,2 months ago,1,توصيل متاخر ومفيش تعامل حلو من خدمة العملاء
Chili'sORDER ONLINE,Habiba Kamel,3 months ago,3,Very Cold Food
Chili'sORDER ONLINE,Rania Ahmed,3 months ago,3,الهمبورجر محروق تماما
Chili'sORDER ONLINE,nermeen essam,3 months ago,1,I didn’t get my order
Chili'sORDER ONLINE,Robina Bakie,4 months ago,3,Cream of قلقاس soup. This is not the old chili's signature soup. Taste very weird.
Chili'sORDER ONLINE,Margreet,4 months ago,1,الأكل جه ملح زيادة قوي و العيش محروق و الفراخ ناشفه. كله كان قرف بصراحه.
Chili'sORDER ONLINE,Nour Salem,4 months ago,1,It tasters like bad cake not a cookie
Chili'sORDER ONLINE,حسام أولياء,4 months ago,4,ال Mini Burger كان ناشف زي الحطب ، و لا لا نكهة و لا شي ، لحمة شبه محروقة
Chili'sORDER ONLINE,sally hussein,5 months ago,1,"Very cold ,"
Chili'sORDER ONLINE,aly,5 months ago,1,No ranch
Chili'sORDER ONLINE,Nada M. Magdy,5 months ago,1,When i asked the delivery guy about the total amount he told me it is 325. Then i double checked on my phone it was 312.25. He wanted to take the extra money for himself.
Chili'sORDER ONLINE,Rania Ahmed,5 months ago,1,الفرايز سيئة جدا جدا جدا - مفيش معلقه او شوكة - مفيش كتشب
Chili'sORDER ONLINE,norhan,5 months ago,1,Order wrong I want to speak to someone
Chili'sORDER ONLINE,Nourhan,6 months ago,3,old saggy mashed potatoes that they filled with salt to cover up the old taste
Chili'sORDER ONLINE,nada,6 months ago,1,مطعم زبالة وقمة البخل اطلب الفراخ مشوية يجيبوها علي مزاجهم مقلية وياريت جودة الاكل عدلة وحتي مش بيجيبوا معالق مع الاكل يعني قمة النتانة واسعار خرافيةمطعم لازم يتقفل
Chili'sORDER ONLINE,reham kassem,6 months ago,1,في اربع شعرات في صوص المكرونة و شعريتين في المكرونة. و الفراخ شبه محروقة و ناشقة و مزيته و مش فريش نهائي. و الاكل كله اترمى في الزبالة. شكراً
Chili'sORDER ONLINE,abody almalki,6 months ago,1,الاكل قليل جدا مخالف للوصف المكرونة من غير كاجو خالص اللحم غير مطهي جيداً كمية لاتناسب القيمة قليلة جداً جداً
Chili'sORDER ONLINE,Nermeen Nasr,7 months ago,4,The food isn’t fresh
Chili'sORDER ONLINE,Deena Wagieh Abu Elnaga,7 months ago,4,portions of food according to price is very limited and Rice's taste was very bad 👎 😕
Chili'sORDER ONLINE,dalia abdin,7 months ago,1,"terrible wings, uncooked, red from inside, raw"
Chili'sORDER ONLINE,Maryam R,8 months ago,1,OVER OVER OVER OVER PRICED. Rice is the worst and wasn't even cooked. Pasta is totally disgusting.
Chili'sORDER ONLINE,Omar Hesham,8 months ago,1,"The burger tasted disgusting, the loaded chicken was dry and old... No wonder Chili’s is slowly dying"
Chili'sORDER ONLINE,Mohamed Nagy,8 months ago,1,horrible portions and taste... overpriced. don't recommend
Chili'sORDER ONLINE,Shady Nagy,8 months ago,1,"Terrible food, terrible packaging and non of the comments were followed plus it takes very long waiting time for the food"
Chili'sORDER ONLINE,Engy El Daly,8 months ago,1,الشوربة كانت عاملة زي البشاميل التقيل و طعمها سئ، و الستيك كان عامل زي الكوتش و طعمه سئ جدا
Chili'sORDER ONLINE,Hoda Mamdouh,9 months ago,1,موصلش. بعد ساعتين وربع انتظار بالرغم من مكالمتهم ٣ مرات بدون نتيجة
Chili'sORDER ONLINE,Shady Abbas,9 months ago,1,"Very bad, the chicken piece is very small and thin and full of oil, honestly it was a very bad experience and i won’t order again Rating 0 out of 5"
