Restaurant,Customer,Date,Rating,Review
House of Donuts,Mona M***,25 January 2024,OK,Cheese pie was totally different than the photo on the application
House of Donuts,Farah T***,13 December 2023,OK,"i ordered filled lotus donuts and i recieved the donuts not filled with lotus , so what is that ??"
House of Donuts,Sarah n***,10 December 2023,Amazing,I received one extra donuts by mistake!
House of Donuts,DeadPool R***,17 November 2023,OK,The dounts look like they have been made in 1945 old and cold bad af iwill never order form them
House of Donuts,Sara A***,18 September 2023,Amazing,very helpful and came beofre the stated delivery time
El Fayoumi Pizza,Hend A***,14 October 2023,OK,"The vegetable pie had almost no cheese, unlike it says on the menu. Sweet pie was horrible"
El Fayoumi Pizza,Farid I***,13 October 2023,OK,it made me very sick
El Fayoumi Pizza,Karim Y***,15 September 2023,OK,Chicken burgers pictures is fried they send me beef burgers at the end
El Fayoumi Pizza,mohammed Zubair A***,29 July 2023,OK,Iwas charged for 5 egp extra although there was a missing item
El Fayoumi Pizza,Mia L***,24 April 2023,OK,"the shop owner called me slurs and threatened me, you simply should not order even if it was the last food on the planet."
El Fayoumi Pizza,Andrew Y***,11 March 2023,Good,"small size , Also its Just a fino bread not Pizza, bad experience and waste of money."
El Fayoumi Pizza,Marwan H***,18 July 2022,Good,The pasta wasnt cooked well it was ver disguesting but the sweet pie was good
El Fayoumi Pizza,Omar A***,12 May 2022,OK,The chocolate crepe was a horrible it wasnt ediable
El Fayoumi Pizza,Khalid A***,10 May 2022,OK,Very bad service and food quality
El Fayoumi Pizza,Amira S***,05 May 2022,OK,it was the worest sandwiches ever first of all the 3 Shawerma sandwiches were Shish Tawook not Shawerma !! and before that the order was for 147 and the restaurant reset was 187 and the delivery man insists to take the amount on the reset not the app
El Fayoumi Pizza,Ashraf F***,01 May 2022,OK,I swear this is the most awful experince i have ever had to.
El Fayoumi Pizza,Robert S***,27 April 2022,OK,Did order Shawerma and chicken with fries and Coca cola bottle one liter. they did not brng Coca cola and the food wasnt hot anymore.
El Fayoumi Pizza,Mustapha M***,31 March 2022,Good,Trash
El Fayoumi Pizza,Victoria L***,22 March 2022,Good,"not bad, but not so tasty 🍕"
El Fayoumi Pizza,Ahmed T***,30 January 2022,OK,Very bad taste of food money was wasted for nothing
El Fayoumi Pizza,Lorenz I***,06 January 2022,OK,"worst pizza in my life! the opposite of ""italian"". sweet dough. almost no thuna. disgusting ""cheese"". i live in cairo, this is THE WORST pizza here. oh, garlic dip with sweet joghurt. delivery was a mess as always. and the delivery boy had no change. AVOID!"
El Fayoumi Pizza,Rhayane B***,16 December 2021,Good,"It was wrong, I orded vegetarian and they brought shrimp"
Katashi Sushi,Mohamed Awed Aboennaga ***,14 January 2024,Amazing,Best sushi in towen
Katashi Sushi,هايدى م***,09 January 2024,Amazing,fresh sushi
Katashi Sushi,Tito Z***,31 December 2023,Amazing,good teast
Katashi Sushi,donia e***,29 December 2023,Amazing,every thing Amazing
Katashi Sushi,Sandy B***,25 December 2023,OK,The food arrived late the salmon tasted spoiled the fried was way to oily and tasted like nothing
Katashi Sushi,May F***,24 December 2023,OK,Paid 600 pounds for my husband and I to get food poisoning. Not recommend at all!!
Katashi Sushi,هايدى م***,05 December 2023,Amazing,thanks 😊
Katashi Sushi,Aimana A***,04 December 2023,Good,The food was cold
Katashi Sushi,Boda M***,03 December 2023,Amazing,Love it ❤️
Sea food chef saber,Muhammad S***,25 November 2023,Good,"boneless white sauce soup is really good. but the fried squid is not worth it at all, very oily."
Sea food chef saber,Lina C***,05 November 2023,OK,there was a hair in my food
Al Dahan,Walaa S***,29 January 2024,Amazing,delivery time is very good.
Al Dahan,Marwa W***,29 January 2024,OK,Didn’t receive it and i want my money
Al Dahan,Walaa S***,29 January 2024,Amazing,Best Quality
Al Dahan,aya A***,17 January 2024,OK,Expired we all get sick
Al Dahan,Laila h***,16 January 2024,OK,The order didn’t come The order didnt come
Al Dahan,Fatima D***,03 January 2024,Good,porriin was too small delivery fee of 65 pounds is expensive
