Restaurant,Customer,Date,Rating,Review
NOLA,Iman M***,05 February 2024,Good,it's important to place the cake box in a bag to avoid being dropped or damaged when moving.
NOLA,Leah M***,30 January 2024,Good,"Macaroons not fresh, very hard"
NOLA,Zeineb J***,28 January 2024,Amazing,The driver is super gentle Thank you so much
NOLA,River K***,29 December 2023,Amazing,I’m Korean. I moved to here 3weeks ago. Yesterday I got flu and this dessert is comforting me. Thank
Abu Auf,Madiha M***,09 August 2023,Good,كان مطلوب لوز مدخن والي وصل لوز مدهن وكان شديد الملوحة بflavor
McDonald's,Mennatallah E***,30 November 2023,Good,"Too cold, missing ingredients and tasted horrible"
McDonald's,Z F***,06 May 2023,Good,الاكل كان كأنه بايت البيض والفراخ اول مره يوصلو كده
McDonald's,احمد ا***,18 January 2023,Good,الاكل لم يكن ساخن
McDonald's,Mekhail G***,23 October 2022,Good,للاسف الاوردر ناقص عن الطلب بشكل كبير
El Killo Grill,m r***,07 April 2023,Amazing,اكل حلو قوى و كمية كويسة جدا
El Killo Grill,Tj M***,11 February 2023,Very good,chicken does not have flavor
El Killo Grill,ابوبكر م***,09 January 2023,Amazing,مريح جميل
El Killo Grill,shimaa m***,06 January 2023,Amazing,ممتاز
El Killo Grill,Moustafa Z***,26 December 2022,Good,غير مهنى في أسلوبه والتعامل مع الناس
El Killo Grill,khadija h***,25 December 2022,Amazing,باعث رغيفه وحده ليه هي اللي موجوده في المحل
El Killo Grill,أحمد س***,25 December 2022,Good,السلطة جت حمضانة
El Killo Grill,Amr T***,23 December 2022,Good,الطعم مش حلو و السلطة حمضانة و اللحمة بتشد
El Killo Grill,m r***,14 December 2022,Amazing,اكلهم جامد..الكفتة طعمها حلو و مش تقيلة...تانى مرة اطلب من عندهم الاسبوع ده...و الجلاش بالجبنة بتاعتهم فكرة حلوة و مش تقيل زى الفطير
El Killo Grill,Dr Hani H***,12 December 2022,Amazing,جيد جدا
El Killo Grill,m r***,11 December 2022,Amazing,لطيف جدا و جودة اللحمة هايلة..
El Killo Grill,Ahmed S***,15 November 2022,Good,كميات قليله .. و طعم غير جيد
El Killo Grill,Mohamed M***,06 November 2022,Good,التعبئه والتغليف سيئين جدا
El Killo Grill,Mohammed E***,15 October 2022,Amazing,ممتاز
El Killo Grill,Osama A***,02 October 2022,Good,"The food has spilled outside the food box, but I blame the packing for this"
Chicken Tikka,Hoda S***,12 January 2024,Good,الطعم سئ جداااااااااااااااااا
Chicken Tikka,Mostafa F***,01 January 2024,Good,"the quality of food is decreasing dramatically, the chicken is frozen and not fresh. not recommended"
Anas Al Demeshky,Mallk I***,Today,Good,الحشوة بتاعت الساندويتش بق اقل بكتيرمن دلوقتيوكمان الثومية اقل
Anas Al Demeshky,Serry Yassen ***,11 February 2024,Good,pickles where charged and missing
Anas Al Demeshky,Amr T***,28 January 2024,Good,vey late delivery and no garlic sauce at all
Alagha,محمود ا***,09 February 2024,Amazing,لا
Alagha,Menna F***,09 February 2024,Good,كمياته بقت قليله مع ان سعره مش رخيص
Alagha,Semo H***,07 February 2024,Amazing,الاكل بارد والأسعار عاليه
Cholo's Burger,sabry t***,11 February 2024,Amazing,كتير حلو
Cholo's Burger,Amr e***,10 February 2024,Amazing,check the ordee
Cholo's Burger,Ayman A***,29 January 2024,Amazing,ممتاز
Cholo's Burger,Ayman A***,28 January 2024,Amazing,تحفة
Cholo's Burger,Mohamed H***,25 January 2024,Amazing,حلو جدا
Cholo's Burger,Mohamed H***,24 January 2024,Amazing,جميل جدا
Cholo's Burger,Mohamed R***,28 December 2023,Amazing,♥️جميل والفراخ تحفة والهوت دوج
Cholo's Burger,Mohamed R***,27 December 2023,Amazing,حلو اوووووووووي بجد انصحكم تجربو
Kbabgy Abou Ramy-ElSayada Zeinab,Mohamed A***,24 November 2023,Good,البطاطس اقذر من خيال اي حد ارجوكم محدش يطلبها كل مره بتترمي والمطعم بقي بصراحه مستواه وحش جدا
Kbabgy Abou Ramy-ElSayada Zeinab,ZEYAD A***,15 September 2023,Good,لا انصح بهذا المطعم خداع وغش بيحطوا صوره الطلب غير والواقع شي ثاني
