Up Family,Shady M***,11 December 2023,Good,الكميات قليله والواقع مختلف عن الصور ب مراحل و الفينو كان مفتوح من الناحيتين
Up Family,mahmoud s***,12 October 2023,Good,الخبز قليل بس
Up Family,Shahd E***,05 May 2023,Good,انا طلبت شوكلانه بيضا ونوتيلا لي تاكلوني ع مزاجكم انا مبحبش الكراميل اوردار بدون شوكه ولا سكينه
Up Family,Kholod EL-bady ***,08 February 2023,Good,عجينة الوافل مش مستوية كويس من جوة
Animal Hotel,Khadija T***,12 July 2022,Amazing,It was a good experience
Animal Hotel,محمد ن***,28 June 2022,Good,الاسعار استغلالية و اعلى من غيره
Animal Hotel,سمر م***,31 January 2022,Amazing,Thank u
Animal Hotel,heba m***,12 December 2021,Very good,الدلفري ممتاز ومحترم ووصل على طول
Animal Hotel,mina a***,17 November 2021,Very good,محترم
Animal Hotel,Kholoud F***,18 July 2021,Amazing,"The food packaging was perfect, I was impressed with how fast my order arrived, I felt I got great quality for the amount I paid, Food was delicious and surpassed my expectations"
Animal Hotel,alshaymaa i***,15 July 2021,Very good,جميل
Animal Hotel,Basma H***,03 July 2021,Good,Rider was so bad atitude
Animal Hotel,Ahmed Mahmoud Shalaby ***,23 June 2021,Very good,The food packaging was perfect
Animal Hotel,ميرفت ف***,13 June 2021,Very good,طلبي وصل بوقت أسرع من المعتاد
Animal Hotel,nono m***,23 May 2021,Very good,I was impressed with how fast my order arrived
Animal Hotel,nono m***,09 May 2021,Amazing,The food packaging was perfect
Animal Hotel,ميرفت ف***,01 May 2021,Very good,حبيت طريقة تغليف طلبي
Animal Hotel,Fatimah R***,21 April 2021,Amazing,I was impressed with how fast my order arrived
Animal Hotel,Mariam A***,08 April 2021,Amazing,There was something missing in my order
Animal Hotel,nono m***,06 April 2021,Amazing,The food packaging was perfect
Shawerma El Reem,Amira A***,07 February 2024,Very good,I think I got my order mistaken.. got extra shawrma
Shawerma El Reem,abdulrhmanmohamed d***,01 February 2024,Good,الأحجام صغيره جدا
Shawerma El Reem,samar a***,26 January 2024,Good,تم إرسال الطلب غير كامل ناقص المخلل
DONER GREEN,مصطفي ع***,12 September 2022,Very good,كويس
CHICKEN FILA,محمد خ***,26 January 2024,Very good,انسان قمة الاحترام
CHICKEN FILA,Mohamed A***,15 January 2024,Good,البطاطس باردة وطعمها مش حلو
El Nagar,Hend K***,14 January 2024,Good,٩٠٪؜ النوجة كانت مدودة اتاخر شوية صغيرين وانا كمان اخرته لما مردتش علطول
El Nagar,Rahma H***,28 November 2023,Good,الكاجو واللب الأبيض مش حلو
El Nagar,Rodayna b***,28 July 2023,Very good,اللب طعمو مش حلو
Shakweer,Mohamed A***,14 September 2023,Good,الكمية اقل من كل مرة مش عارف ليه تقريبا علشان دفعت فيزا 🤦🏻🤦🏻
Chicken Tikka,None N***,05 January 2024,Very good,دائما لا يملك فكه
Chicken Tikka,None N***,03 January 2024,Good,الخبز مغطى باعشاب دون موافقتنا... سائق لا يملك صرف
Chicken Tikka,None N***,05 December 2023,Good,كثير تحدث
Boulevard,Hanin I***,29 December 2023,Amazing,Some chocolate boba was spilled
Boulevard,Mayada S***,12 October 2023,Good,السكر كتير جدا ف كل حاجة
Boulevard,Mostafa A***,28 September 2023,Very good,ياريت التغليف يكون كويس عشان المشروب وصل ونصه واقع في قلب التغليف
Boulevard,Mariam A***,27 September 2023,Good,البوبا مكانتش مستوية و كانت ملمسها محبب كدا مش ناعم :((((( انا كنت بطلب منهم عشان البوبا اصلا :(
Boulevard,Ayman H***,15 September 2023,Good,لا يوجد شاليمو
Boulevard,Abdelrhman A***,09 September 2023,Good,التغليف محتاج يكون محكم عن كدا ، المشروبات جايه مبهدله الوافل
Just Bakery,Moustafa E***,02 February 2024,Good,الباتون ساليه فريش طويس بس طعمه زي البقسماط لا يمت بصلة للطعم الاصلي للباتون وبدون نكهة الكمون
Al Shal Sons,Mohamed A***,17 August 2023,Good,اختلاف الكميات فى الاطباق
Al Shal Sons,Mohamed M***,28 July 2023,Very good,السعر
Newtelliajo - El Gomhuria Street,Alia S***,03 December 2023,Very good,أنا بحب الوافل بتاعكم جدا بس بقاله مرتين بييجي محروق شويه ياريت حد ياخد باله من الموضوع ده
Super Pizza,Abdallah A***,04 February 2024,Good,البيتزا تقريبا بلا حشوة .. عبارة عن عجين وجبنة فقط حتى الجبنة أقل من اللازم
Super Pizza,Ayman T***,19 December 2023,Very good,I think pizza fall from him
Super Pizza,Khaled M***,06 December 2023,Good,كيس لتغليف الطلب ..
Super Pizza,Ahmed F***,16 October 2023,Good,Title is misleading. This isn’t a chicago style pizza. This is a regular double layered pizza.
Super Pizza,Ahmed M***,03 October 2023,Amazing,Mix grill plate is 3 pieces of kofta and small pieces ofchicken in rice with French fries & 3 ketchu
Super Pizza,حميد خالد ا***,29 August 2023,Good,Use another cheese
The Bun & More,Fatma A***,05 February 2024,Very good,الريزو تحفة
Grand Rafal,Hadeer Elazab ***,31 December 2023,Good,كنت طالبه كريب شاورما جالي شاورما سوري و الاوردر اتأخر جداا
Grand Rafal,reem R***,19 October 2023,Good,There are no sauces on the dish
